Filename,Normalized Difference (by max |diff|)
LAL010,-0.7840359867233446
LAL014,0.22022942991905906
LAL018,-0.0006405403831595404
LAL040,-1.0
LAL046,-0.09369358877307397
LAL121,-0.7639317533337213
LAL073,-0.03878180865311826
LAL122,-0.2685611133756477
LAL126,-0.1265940720899085
LAL017,-0.05333954463401846
LAL153,-0.020380830373260238
