Filename,Average Angular Velocity (°/s)
LAL010,-42.42434332139412
LAL014,-41.85550160502551
LAL018,-53.22420171710546
LAL040,-35.10787173640539
LAL046,-119.45071128821198
LAL121,-37.37513872004273
LAL073,-119.75217344091513
LAL122,13.235956541853993
LAL126,-113.2833982490627
LAL017,-3.871441681906208
LAL153,109.72344081573166
Fullmodel,-119.43608611903365
