90 , 2231 , 9611 , None , 180.43986384847875 , 5911
90 , 2181 , None , None , 177.5449508901437 , 4882
90 , 2241 , None , None , 178.44156619430603 , 436
90 , 2241 , None , None , 176.45640771765102 , 6749
90 , 2231 , None , None , 174.1676248182784 , 4691
90 , 2231 , 9971 , None , 178.53949863669413 , 1927
90 , 2171 , None , None , 178.32068458684142 , 7634
90 , 2191 , None , None , 176.99326957417705 , 4521
90 , 2181 , None , None , 177.49594250010819 , 7384
90 , 2251 , None , None , 177.55550445821535 , 9543
90 , 2181 , 9741 , None , 179.37368195584386 , 3029
90 , 2191 , None , None , 176.50077457622012 , 9430
90 , 2121 , None , None , 175.59514652276252 , 426
90 , 2171 , None , None , 174.95811590358838 , 5018
90 , 2221 , None , None , 176.1045665346075 , 5311
90 , 2191 , None , None , 177.1533476719968 , 6504
90 , 2251 , None , None , 177.71207296893954 , 1288
90 , 2161 , None , None , 177.51251606849686 , 5105
90 , 2221 , None , None , 176.90054105305245 , 2224
90 , 2231 , None , None , 177.72101400688751 , 2580
90 , 2271 , None , None , 178.31544861781157 , 7831
90 , 2191 , None , None , 176.97926328426587 , 4633
90 , 2261 , None , None , 177.6339038344754 , 7049
90 , 2241 , None , None , 176.67137223046822 , 5103
90 , 2201 , 9661 , None , 179.97597077086903 , 8079
90 , 2241 , 9961 , None , 178.51898015463954 , 1045
90 , 2201 , 9261 , None , 181.08604889836587 , 199
90 , 2221 , None , None , 176.48884509953132 , 1248
90 , 2261 , 9911 , None , 178.63190763890955 , 3869
90 , 2161 , 9241 , None , 181.37355371228395 , 8576
