Filename,Average Angular Velocity (°/s)
LAL010,-125.28018680583631
LAL014,-133.15318118573686
LAL018,-129.12250929601123
LAL040,-76.67512478525558
LAL046,-98.25635383814644
LAL121,-59.59148613483926
LAL073,-128.53484213015102
LAL122,-66.04035791361099
LAL126,-127.70370567721002
LAL017,-127.33150844816807
LAL153,84.77003812624868
Fullmodel,-128.00359901826607
