0 , 150 , 2241 , None , None , 178.61625258464008
0 , 90 , 2211 , 10151 , 11971 , 183.01060566767447
0 , 45 , 2341 , None , None , 172.743251742872
0 , 60 , 2351 , 11971 , None , 180.00127324428698
0 , 30 , 2431 , None , None , 157.1594080246435
0 , 120 , 2071 , 7661 , 11381 , 179.7960714180662
0 , 135 , 2191 , None , None , 179.99852046849523
5 , 90 , 2191 , None , None , 179.81089040163732
5 , 135 , 2181 , 11331 , None , 180.6908807995494
5 , 60 , 2411 , None , None , 175.68461109858123
5 , 45 , 2451 , None , None , 166.36281721883995
5 , 150 , 2271 , None , None , 175.520808708387
5 , 30 , 2431 , None , None , 150.29555482395196
5 , 120 , 2101 , None , None , 175.1019699201815
10 , 120 , 2101 , None , None , 168.87181345125774
10 , 60 , 2391 , None , None , 164.63733510048561
10 , 135 , 2131 , None , None , 168.18657407422273
10 , 150 , 2401 , None , None , 167.07246483245473
10 , 90 , 2231 , None , None , 169.38697120477673
10 , 45 , 2411 , None , None , 156.3763432033696
10 , 30 , 2491 , None , None , 137.69393207510936
15 , 45 , None , None , None , 39.81908004224253
15 , 90 , 2401 , None , None , 144.68397844442254
15 , 60 , 4841 , None , None , 97.69458539846632
15 , 30 , None , None , None , 22.620114889348248
15 , 120 , 2121 , None , None , 142.1989210325086
15 , 135 , 2151 , None , None , 142.33462534049605
15 , 150 , None , None , None , 142.41187546739263
20 , 150 , None , None , None , 61.28278540810767
20 , 30 , 5031 , 5031 , None , 259.20249210247295
20 , 60 , 7361 , 7361 , None , 293.19400264155286
20 , 135 , 2161 , None , None , 49.421225249319356
20 , 120 , 2111 , None , None , 40.46392388593547
20 , 45 , 6351 , 6351 , None , 278.58577502148273
20 , 90 , 2131 , 10291 , None , 335.9228511817254
25 , 30 , 4731 , 4731 , None , 253.4493453173569
25 , 45 , 5831 , 5831 , None , 269.6267031708528
25 , 135 , 2181 , None , None , 5.674582525337886
25 , 60 , 6811 , 6811 , None , 284.14581808960907
25 , 90 , 2241 , 9191 , None , 319.2127266280701
25 , 120 , 2081 , 11561 , None , 353.9314591045219
25 , 150 , None , None , None , 19.831575682476053
30 , 120 , 2211 , 11061 , None , 346.6059419890098
30 , 60 , 6671 , 6671 , None , 281.6385737962449
30 , 30 , 4611 , 4611 , None , 251.09058387928474
30 , 135 , 11971 , 11971 , None , 359.9357030232962
30 , 150 , None , None , None , 13.398164340827773
30 , 90 , 8851 , 8851 , None , 313.9383611633255
30 , 45 , 5671 , 5671 , None , 266.7940345398596
35 , 30 , 4591 , 4591 , None , 250.60198615296545
35 , 45 , 5611 , 5611 , None , 265.7072766675024
35 , 90 , 8731 , 8731 , None , 312.0244748677404
35 , 135 , 2201 , 11851 , None , 358.12982750806026
35 , 120 , 2081 , 10911 , None , 344.3671578023787
35 , 150 , None , None , None , 11.755889900863716
35 , 60 , 6601 , 6601 , None , 280.4476453493144
40 , 90 , 2231 , 8761 , None , 312.3634342580604
40 , 45 , 5601 , 5601 , None , 265.4071952913583
40 , 120 , 2031 , 10941 , None , 344.71996629149385
40 , 135 , 2201 , 11831 , None , 357.82270559617416
40 , 30 , 4571 , 4571 , None , 250.0849382297149
40 , 60 , 6651 , 6651 , None , 281.03147851778823
40 , 150 , None , None , None , 11.979379591833041
45 , 120 , 2081 , 10961 , None , 344.9459066360542
45 , 30 , 4571 , 4571 , None , 250.04982979415604
45 , 90 , 2201 , 8791 , None , 312.7573279898424
45 , 150 , None , None , None , 12.324690243832269
45 , 135 , 2131 , 11901 , None , 358.86769395805
45 , 45 , 5611 , 5611 , None , 265.5220488166294
45 , 60 , 6631 , 6631 , None , 280.74256011499773
50 , 30 , 4591 , 4591 , None , 250.38868380314224
50 , 120 , 2051 , 11071 , None , 346.5871442811035
50 , 90 , 8791 , 8791 , None , 312.78979956637835
50 , 135 , None , None , None , 0.09704009966566104
50 , 45 , 5651 , 5651 , None , 266.12175679165114
50 , 60 , 6681 , 6681 , None , 281.4071187239163
50 , 150 , None , None , None , 14.950701657619083
0 , 30 , 2311 , None , None , 158.50479853533707
0 , 90 , 2221 , None , None , 179.07754932604905
0 , 45 , 2301 , None , None , 172.19894304576636
