Label,Noise Level,R&L firing rate difference,R&L firing rate sum
Full model,0.07,0.292677095225286,0.9369973179108231
— EC connection,0.07,0.14506702767708346,0.3838424194478528
— LAL121,0.07,0.048891566820884656,1.4581946595813144
— PFL2,0.07,0.06513889309080285,0.19066882543399571
+ PFL2,0.07,0.17199343179021653,1.0145698346329155
+ 121,0.07,0.03001319758683079,0.13241290704667305
+ EC,0.07,0.22984815273155815,0.6531029655838958
